overview,genres,budget,popularity,runtime,vote_average,vote_count
enemy at the gates is a war film from jean-jacques annaud from 2001 that takes place during the battle of stalingard in world war ii between the russians and the germans.,['war'],0.693877551020408,0.6486631446266805,0.7741935483870968,0.723404255319149,0.5729047072330655
publisher will randall becomes a werewolf and has to fight to keep his job.,['fantasy'],0.0,0.2162276857388467,0.7096774193548387,0.4680851063829787,0.1234213547646383
"a compilation of interviews, rehearsals and backstage footage of michael jackson as he prepared for his series of sold-out shows in london.","['music', 'documentary']",0.6122448979591837,0.2482905073037949,0.5591397849462366,0.6170212765957447,0.1412169919632606
"in an ancient time when majestic fire-breathers soared through the skies, a knight named bowen comes face to face and heart to heart with the last dragon on earth, draco. taking up arms to suppress a tyrant king, bowen soon realizes his task will be harder than he'd imagined: if he kills the king, draco will die as well.",['fantasy'],0.5816326530612244,0.4996473805663841,0.4731182795698925,0.5531914893617021,0.3065442020665901
"in arizona in the late 1800's, infamous outlaw ben wade and his vicious gang of thieves and murderers have plagued the southern railroad. when wade is captured, civil war veteran dan evans, struggling to survive on his drought-plagued ranch, volunteers to deliver him alive to the ""3:10 to yuma"", a train that will take the killer to trial.",['western'],0.5612244897959182,0.7669681629749454,0.6774193548387097,0.6595744680851064,0.6814006888633755
"a former professional dancer volunteers to teach dance in the new york public school system and, while his background first clashes with his students' tastes, together they create a completely new style of dance. based on the story of ballroom dancer, pierre dulane.",['music'],0.3061224489795918,0.1414360139414532,0.5268817204301075,0.5957446808510637,0.092422502870264
"robert gould shaw leads the us civil war's first all-black volunteer company, fighting prejudices of both his own union army and the confederates.",['war'],0.183673469387755,0.2530627551320221,0.6774193548387097,0.7659574468085107,0.2192881745120551
"the cameras of jacques perrin fly with migratory birds: geese, storks, cranes. the film begins with spring in north america and the migration to the arctic; the flight is a community event for each species. once in the arctic, it's family time: courtship, nests, eggs, fledglings, and first flight. chicks must soon fly south. bad weather, hunters, and pollution take their toll. then, the cameras go",['documentary'],0.3659836428571428,0.0589420203690863,0.4193548387096774,0.6808510638297872,0.0275545350172215
a former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.,['western'],0.2244897959183673,0.2996758805588482,0.860215053763441,0.6808510638297872,0.1498277841561424
"michael moore's capitalism: a love story comes home to the issue he's been examining throughout his career: the disastrous impact of corporate dominance on the everyday lives of americans (and by default, the rest of the world).",['documentary'],0.2040816326530611,0.1650310184557332,0.6559139784946237,0.6808510638297872,0.095292766934558
the sorcerer and his apprentice galen are on a mission to kill an evil dragon in order to save the king’s daughter from being sacrificed in accordance to a pact that the king himself made with the dragon to protect his kingdom. a fantasy film from disney studios that exhausted all possible visual effects of the time.,['fantasy'],0.183673469387755,0.0512045883133339,0.5268817204301075,0.5744680851063829,0.0378874856486796
"the story recounts the early life of genghis khan, a slave who went on to conquer half the world in the 11th century.",['history'],0.183673469387755,0.1594347477396263,0.6559139784946237,0.5744680851063829,0.0901262916188289
"a 3-d presentation of u2's global ""vertigo"" tour. shot at seven different shows, this production employs the greatest number of 3-d cameras ever used for a single project.","['music', 'documentary']",0.1530612244897959,0.0052621886934931,0.2795698924731182,0.6170212765957447,0.005166475315729
"william munny is a retired, once-ruthless killer turned gentle widower and hog farmer. to help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",['western'],0.1428571428571428,0.5874773981496568,0.7741935483870968,0.8297872340425532,0.6383467278989667
"giving fans unprecedented access to the real life of the music sensation, katy perry: part of me exposes the hard work, dedication and phenomenal talent of a girl who remained true to herself and her vision in order to achieve her dreams. featuring rare behind-the-scenes interviews, personal moments between katy and her friends, and all-access footage of rehearsals, choreography, katy’s signature style and more, katy perry: part of me reveals the singer’s unwavering belief that if you can be yourself, then you can be anything.","['documentary', 'music']",0.1224489795918367,0.1321793000000141,0.3655913978494624,0.5744680851063829,0.0482204362801377
"the origins, exploits and the ultimate fate of the james gang is told in a sympathetic portrayal of the bank robbers made up of brothers who begin their legendary bank raids because of revenge.","['western', 'history']",0.1020408163265305,0.0465073702435843,0.4301075268817204,0.5957446808510637,0.0281285878300803
"sicko is a michael moore documentary about the corrupt health care system in the united states who's main goal is to make profit even if it means losing peoples lives. ""the more people you deny health insurance the more money we make"" is the business model for health care providers in america.",['documentary'],0.0918367346938775,0.2215779330282238,0.6881720430107527,0.7446808510638298,0.1343283582089552
michael moore's view on what happened to the united states after september 11; and how the bush administration allegedly used the tragic event to push forward its agenda for unjust wars in afghanistan and iraq.,['documentary'],0.0612244897959183,0.2547535021758551,0.6774193548387097,0.6382978723404255,0.2273249138920781
"beautiful half-breed pearl chavez becomes the ward of her dead father's first love and finds herself torn between her sons, one good and the other bad.",['western'],0.0612244897959183,0.1195081976926321,0.913978494623656,0.5106382978723404,0.0206659012629162
an unflinching look at the how the battle over abortion rights has played out in the united states over the last 15 years,['documentary'],0.0,0.0074711659962368,1.0,0.8936170212765957,0.005166475315729
"a gunfighting stranger comes to the small settlement of lago. after gunning down three gunmen who tried to kill him, the townsfolk decide to hire the stranger to hold off three outlaws who are on their way.",['western'],0.0561224489795918,0.3006041498623084,0.4946236559139785,0.7659574468085107,0.1590126291618829
errol morris examines the incidents of abuse and torture of suspected terrorists at the hands of u.s. forces at the abu ghraib prison.,['documentary'],0.0,0.0139657506912002,0.6236559139784946,0.5957446808510637,0.0074626865671642
an aging pat garrett is hired as a lawman on behalf of a group of wealthy new mexico cattle barons--his sole purpose being to bring down his old friend billy the kid.,['western'],0.0473345204081632,0.0706430793683927,0.5053763440860215,0.723404255319149,0.0367393800229621
"amanda (marlee maitlin) is a divorced woman who makes a living as a photographer. during the fall of the year amanda begins to see the world in new and different ways when she begins to question her role in life, her relationships with her career and men and what it all means. as the layers to her everyday experiences fall away insertions in the story with scientists, and philosophers and religious leaders impart information directly to an off-screen interviewer about academic issues, and amanda begins to understand the basis to the quantum world beneath. during her epiphany as she considers the great questions raised by the host of inserted thinkers, amanda slowly comprehends the various inspirations and begins to see the world in a new way.",['documentary'],0.0,0.1145402972746925,0.5376344086021506,0.4255319148936169,0.0189437428243398
"in a fantasy world of opposing kingdoms, a 15-year old girl must find the fabled mirrormask in order to save the kingdom and get home",['fantasy'],0.0408163265306122,0.121924394803823,0.4516129032258065,0.5957446808510637,0.0579793340987371
"during the last winter of the civil war, cavalry officer amos dundee leads a contentious troop of army regulars, confederate prisoners and scouts on an expedition into mexico to destroy a band of apaches who have been raiding u.s. bases in texas.","['war', 'western']",0.0387755102040816,0.0548475235472661,0.6881720430107527,0.5106382978723404,0.0212399540757749
"a senator, who became famous for killing a notorious outlaw, returns for the funeral of an old friend and tells the truth about his deed.",['western'],0.0326530612244897,0.1844297943453808,0.6881720430107527,0.7659574468085107,0.1515499425947187
"why do 11,000 people die in america each year at the hands of gun violence? talking heads yelling from every tv camera blame everything from satan to video games. but are we that much different from many other countries? what sets us apart? how have we become both the master and victim of such enormous amounts of violence? this is not a film about gun control. it is a film about the fearful heart and soul of the united states, and the 280 million americans lucky enough to have the right to a constitutionally protected uzi. from a look at the columbine high school security camera tapes to the home of oscar-winning nra president charlton heston, from a young man who makes homemade napalm with the anarchist's cookbook to the murder of a six-year-old girl by another six-year-old, bowling for columbine is a journey through america, through our past, hoping to discover why our pursuit of happiness is so riddled with violence.",['documentary'],0.0408163265306122,0.1793935907581191,0.6559139784946237,0.7446808510638298,0.25947187141217
"dunson is driving his cattle to red river when his adopted son, matthew, turns against him.",['western'],0.0306122448979591,0.0839950287991528,0.795698924731183,0.7446808510638298,0.0464982778415614
some of the world's most innovative documentary filmmakers will explore the hidden side of everything.,['documentary'],0.0306122448979591,0.0279921978480981,0.3655913978494624,0.5957446808510637,0.0200918484500574
riding giants is story about big wave surfers who have become heroes and legends in their sport. directed by the skateboard guru stacy peralta.,['documentary'],0.0265306122448979,0.0140751363466262,0.4946236559139785,0.8085106382978722,0.0126291618828932
"100 pounds overweight, loaded up on steroids and suffering from a debilitating autoimmune disease, joe cross is at the end of his rope and the end of his hope. in the mirror he saw a 310lb man whose gut was bigger than a beach ball and a path laid out before him that wouldn't end well— with one foot already in the grave, the other wasn't far behind. fat, sick &amp; nearly dead is an inspiring film that chronicles joe's personal mission to regain his health.",['documentary'],0.0,0.008572519239813,0.4086021505376344,0.702127659574468,0.026406429391504
"2016: obama's america takes audiences on a gripping visual journey into the heart of the worlds most powerful office to reveal the struggle of whether one man's past will redefine america over the next four years. the film examines the question, ""if obama wins a second term, where will we be in 2016?""  across the globe and in america, people in 2008 hungered for a leader who would unite and lift us from economic turmoil and war. true to americas ideals, they invested their hope in a new kind of president, barack obama. what they didn't know is that obama is a man with a past, and in powerful ways that past defines him--who he is, how he thinks, and where he intends to take america and the world. immersed in exotic locales across four continents, best selling author dinesh dsouza races against time to find answers to obama's past and reveal where america will be in 2016.",['documentary'],0.0255102040816326,0.0152952893271803,0.3010752688172043,0.1702127659574467,0.010332950631458
"filmmaker and ex-church of jesus christ of latter-day saints member reed cowan examines that church's nationwide efforts to prevent the legalization of gay marriage - including california's proposition 8, which was passed by voters in 2008. confidential church documents, statements by high-ranking church officials and other sources detail 30 years of efforts to turn back gay rights, particularly by the mormon-sponsored national organization for marriage.",['documentary'],0.0,0.0066729178892333,0.2258064516129032,0.3617021276595744,0.0028702640642939
"a film that exposes the shocking truth behind the economic crisis of 2008. the global financial meltdown, at a cost of over $20 trillion, resulted in millions of people losing their homes and jobs. through extensive research and interviews with major financial insiders, politicians and journalists, inside job traces the rise of a rogue industry and unveils the corrosive relationships which have corrupted politics, regulation and academia.",['documentary'],0.020408163265306,0.2660859818086312,0.5376344086021506,0.8297872340425532,0.1636050516647532
